"","Term","Df","SumOfSqs","R2","F","Pr(>F)"
"1","Age",1,0.191624448951072,0.0345738492802074,2.86496066048596,0.01
"2","Country",1,0.0953188066321723,0.017197899704914,1.39990744421489,0.184
"3","LAZ",1,0.0998042702675357,0.0180071896704158,1.46699156906227,0.183
"4","Sex",1,0.0434438153943092,0.0078383522239561,0.632022190458659,0.719
"5","WAZ",1,0.150438270328281,0.0271428312659264,2.23200956014917,0.044
"6","WLZ",1,0.0651307903945582,0.0117512256026223,0.951276715504198,0.44
