"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance_SAM","avg_abundance_Stunting","prevalence_SAM","prevalence_Stunting"
"1","mal.typeStunting","Campylobacterales","Order","`Campylobacterales`~mal.type",0.442042766969884,0.898531800590129,0.491961182319383,0.62418368021651,1,0.00222641547263768,0.00231122009211436,0.375,0.490566037735849
"2","mal.typeStunting","Bdellovibrionales","Order","`Bdellovibrionales`~mal.type",-0.158572842752108,0.105844799847873,-1.49816375466739,0.138287979072541,1,8.6571092180899e-06,0,0.0416666666666667,0
"3","mal.typeStunting","Saccharimonadales","Order","`Saccharimonadales`~mal.type",0.739093903161264,0.323042320525187,2.28791664807162,0.0249617263414433,0.584088222807593,0,5.28672040110349e-05,0,0.207547169811321
"4","mal.typeStunting","Bacteroidales","Order","`Bacteroidales`~mal.type",0.0079417066950229,0.945209521463475,0.00840205955895016,0.993318514443191,1,0.0560621046246461,0.0135672613863713,0.75,0.943396226415094
"5","mal.typeStunting","Flavobacteriales","Order","`Flavobacteriales`~mal.type",-0.461483487253642,0.891670183766224,-0.51754953306214,0.606295796568824,1,0.00544769708382561,0.00101967293318654,0.458333333333333,0.509433962264151
"6","mal.typeStunting","Chitinophagales","Order","`Chitinophagales`~mal.type",-0.0446733756592995,0.374557580890637,-0.119269714293523,0.905380574097992,1,0.000164474251025171,5.85694065708285e-05,0.0833333333333333,0.0754716981132075
"7","mal.typeStunting","Sphingobacteriales","Order","`Sphingobacteriales`~mal.type",0.117438409135806,0.198254864133072,0.592360796035648,0.555390737260864,1,1.89946511062485e-06,1.67548407297136e-05,0.0416666666666667,0.0377358490566038
"8","mal.typeStunting","Cytophagales","Order","`Cytophagales`~mal.type",0.158973155123676,0.169643882698057,0.937099249294045,0.351715374958825,1,0,1.23265728970738e-05,0,0.0377358490566038
"9","mal.typeStunting","Actinomycetales","Order","`Actinomycetales`~mal.type",6.73812547355711,0.666452181183742,10.1104410245743,1.18543865629657e-15,3.32861957638295e-13,0.00247078206107534,0.0218569706711678,0.458333333333333,0.981132075471698
"10","mal.typeStunting","Micrococcales","Order","`Micrococcales`~mal.type",1.51094155564007,0.69157899882382,2.18477073220812,0.0320298953043479,0.64241039727754,0.019247997855832,0.0102701529701585,0.791666666666667,1
"11","mal.typeStunting","Corynebacteriales","Order","`Corynebacteriales`~mal.type",4.4082313983667,0.732495318782337,6.0181018026091,6.01017114978451e-08,3.37521865687832e-06,0.000650177181865581,0.00556460527479496,0.333333333333333,0.905660377358491
"12","mal.typeStunting","Pseudonocardiales","Order","`Pseudonocardiales`~mal.type",-0.130753973289617,0.223413891935122,-0.585254444820231,0.560133449728476,1,3.1742733799663e-05,1.37278320027142e-05,0.0416666666666667,0.0188679245283019
"13","mal.typeStunting","Frankiales","Order","`Frankiales`~mal.type",0.404011615959667,0.277966825242162,1.45345263992455,0.150269801583691,1,0,5.90004871339574e-05,0,0.0943396226415094
"14","mal.typeStunting","Streptomycetales","Order","`Streptomycetales`~mal.type",0.059026903579995,0.0880360976669193,0.670485234401469,0.504607959727017,1,0,2.45139857191325e-06,0,0.0188679245283019
"15","mal.typeStunting","Micromonosporales","Order","`Micromonosporales`~mal.type",0.130396284903179,0.194480472071212,0.67048523440149,0.504607959727004,1,0,3.3735187625712e-05,0,0.0188679245283019
"16","mal.typeStunting","Propionibacteriales","Order","`Propionibacteriales`~mal.type",0.8280489094739,0.569696362390136,1.45349165650252,0.150259004400221,1,2.32149791487278e-05,0.00128453021438125,0.0416666666666667,0.169811320754717
"17","mal.typeStunting","Bifidobacteriales","Order","`Bifidobacteriales`~mal.type",-0.915549195193381,0.659628894974712,-1.3879761820144,0.169253836948469,1,0.01026852816191,0.000194716856624571,0.208333333333333,0.150943396226415
"18","mal.typeStunting","Coriobacteriales","Order","`Coriobacteriales`~mal.type",5.21010428835287,0.707283487431558,7.3663592900676,1.89865879652459e-10,2.66564313784379e-08,0.00104906311215635,0.00446489430202518,0.25,0.905660377358491
"19","mal.typeStunting","Microtrichales","Order","`Microtrichales`~mal.type",0.0625844919141487,0.0933420882415345,0.670485234401478,0.504607959727011,1,0,2.79366155442122e-06,0,0.0188679245283019
"20","mal.typeStunting","Rubrobacterales","Order","`Rubrobacterales`~mal.type",-0.0309040307954237,0.21538899914294,-0.143480079848064,0.886295849677641,1,8.44181059953739e-06,2.88678360623527e-05,0.0416666666666667,0.0188679245283019
"21","mal.typeStunting","Solirubrobacterales","Order","`Solirubrobacterales`~mal.type",0.114234439779168,0.170375772527102,0.670485234401485,0.504607959727007,1,0,1.86306291465407e-05,0,0.0188679245283019
"22","mal.typeStunting","Gaiellales","Order","`Gaiellales`~mal.type",-0.0515354434573631,0.216817523467768,-0.237690398050434,0.812769363902584,1,2.01999215088764e-05,1.05619166406181e-05,0.0416666666666667,0.0377358490566038
"23","mal.typeStunting","Thermomicrobiales","Order","`Thermomicrobiales`~mal.type",0.0163738718522913,0.132787988245401,0.123308381041448,0.90219275664003,1,1.89946511062485e-06,6.08339448988249e-06,0.0416666666666667,0.0188679245283019
"24","mal.typeStunting","Pseudomonadales","Order","`Pseudomonadales`~mal.type",3.57776412626977,0.828668347798667,4.31748616412585,4.76420511841137e-05,0.00148639083832577,0.0201894591819769,0.0358725528558188,0.666666666666667,1
