"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance_SAM","avg_abundance_Stunting","prevalence_SAM","prevalence_Stunting"
"1","mal.typeStunting","Helicobacteraceae","Family","`Helicobacteraceae`~mal.type",1.40134556022752,0.729076629994431,1.92208267632749,0.0583937444323492,1,6.19281967991398e-05,0.001759732002023,0.0833333333333333,0.264150943396226
"2","mal.typeStunting","Campylobacteraceae","Family","`Campylobacteraceae`~mal.type",-1.03964187854349,0.73767610702843,-1.40934736619228,0.162865497656978,1,0.00216448727583854,0.00055148809009136,0.375,0.283018867924528
"3","mal.typeStunting","Bdellovibrionaceae","Family","`Bdellovibrionaceae`~mal.type",-0.158572842752108,0.105844799847873,-1.49816375466739,0.138287979072541,1,8.6571092180899e-06,0,0.0416666666666667,0
"4","mal.typeStunting","Saccharimonadaceae","Family","`Saccharimonadaceae`~mal.type",0.739093903161264,0.323042320525187,2.28791664807162,0.0249617263414433,0.617925299921804,0,5.28672040110349e-05,0,0.207547169811321
"5","mal.typeStunting","Prevotellaceae","Family","`Prevotellaceae`~mal.type",-0.19128706614145,1.03584780323656,-0.184667154328816,0.853988549892451,1,0.0516991609320988,0.00920257489988692,0.666666666666667,0.867924528301887
"6","mal.typeStunting","Bacteroidaceae","Family","`Bacteroidaceae`~mal.type",1.71365312000766,0.742798562124604,2.30702266723047,0.0238154946768399,0.614115039296994,0.000261879795507859,0.00191178814630205,0.125,0.433962264150943
"7","mal.typeStunting","Porphyromonadaceae","Family","`Porphyromonadaceae`~mal.type",0.442044759736388,0.880588795436532,0.501987717794268,0.617146731691085,1,0.00391342919245181,0.00199217038874692,0.458333333333333,0.622641509433962
"8","mal.typeStunting","Paludibacteraceae","Family","`Paludibacteraceae`~mal.type",0.197835206034696,0.177948967052515,1.11175248337526,0.269795719088348,1,0,1.27225242813301e-05,0,0.0566037735849057
"9","mal.typeStunting","Tannerellaceae","Family","`Tannerellaceae`~mal.type",-0.297489709088866,0.472037441658979,-0.630224814462465,0.530463047856135,1,0.000155977914839351,0.000292624360565684,0.166666666666667,0.0754716981132075
"10","mal.typeStunting","Muribaculaceae","Family","`Muribaculaceae`~mal.type",-0.194425115424327,0.169890405047369,-1.14441492661176,0.256090819188225,1,3.16567897482652e-05,1.31569368195123e-06,0.0416666666666667,0.0188679245283019
"11","mal.typeStunting","Marinifilaceae","Family","`Marinifilaceae`~mal.type",0.168895680422339,0.251900670971678,0.670485234401493,0.504607959727001,1,0,0.000138779459534177,0,0.0188679245283019
"12","mal.typeStunting","Weeksellaceae","Family","`Weeksellaceae`~mal.type",0.406345068586202,0.738271447284756,0.550400628496028,0.58368026564151,1,0.00160820696744433,0.000472567541648268,0.25,0.39622641509434
"13","mal.typeStunting","Flavobacteriaceae","Family","`Flavobacteriaceae`~mal.type",-0.422450658447703,0.772717844695982,-0.546707522477253,0.586202603093918,1,0.00383949011638128,0.000547105391538274,0.291666666666667,0.320754716981132
"14","mal.typeStunting","Chitinophagaceae","Family","`Chitinophagaceae`~mal.type",-0.0446733756592995,0.374557580890637,-0.119269714293523,0.905380574097992,1,0.000164474251025171,5.85694065708284e-05,0.0833333333333333,0.0754716981132075
"15","mal.typeStunting","Bacteroidetes vadinHA17","Family","`Bacteroidetes vadinHA17`~mal.type",0.10718312227258,0.15985903458151,0.67048523440149,0.504607959727003,1,0,1.43789324306313e-05,0,0.0188679245283019
"16","mal.typeStunting","AKYH767","Family","`AKYH767`~mal.type",0.0942490632074016,0.140568439648837,0.670485234401484,0.504607959727007,1,0,8.94064881762549e-06,0,0.0188679245283019
"17","mal.typeStunting","Sphingobacteriaceae","Family","`Sphingobacteriaceae`~mal.type",0.0231893459284001,0.142393562242304,0.162853892853246,0.87107147622141,1,1.89946511062485e-06,7.81419191208811e-06,0.0416666666666667,0.0188679245283019
"18","mal.typeStunting","Spirosomaceae","Family","`Spirosomaceae`~mal.type",0.0958287640010232,0.142924495699844,0.670485234401481,0.504607959727009,1,0,9.47485373817887e-06,0,0.0188679245283019
"19","mal.typeStunting","Rikenellaceae","Family","`Rikenellaceae`~mal.type",0.0319616030205322,0.0476693615021459,0.670485234401418,0.504607959727049,1,0,9.06980941609473e-07,0,0.0188679245283019
"20","mal.typeStunting","Hymenobacteraceae","Family","`Hymenobacteraceae`~mal.type",0.0631443911226475,0.0941771539219891,0.670485234401462,0.504607959727021,1,0,2.85171915889494e-06,0,0.0188679245283019
"21","mal.typeStunting","Actinomycetaceae","Family","`Actinomycetaceae`~mal.type",6.73812547355711,0.666452181183742,10.1104410245743,1.18543865629657e-15,7.33635694113419e-13,0.00247078206107534,0.0218569706711678,0.458333333333333,0.981132075471698
"22","mal.typeStunting","Micrococcaceae","Family","`Micrococcaceae`~mal.type",1.69750188805305,0.726105643049536,2.33781668590784,0.0220659196274931,0.593738982692035,0.0191596175536712,0.0101356699727476,0.75,1
"23","mal.typeStunting","Dermacoccaceae","Family","`Dermacoccaceae`~mal.type",0.0849305638140724,0.126670297057156,0.670485234401481,0.504607959727009,1,0,6.34886659126631e-06,0,0.0188679245283019
"24","mal.typeStunting","Intrasporangiaceae","Family","`Intrasporangiaceae`~mal.type",-0.0946368114181404,0.264003396898737,-0.35846815809889,0.721000049135311,1,3.16567897482652e-05,5.14323352326429e-05,0.0416666666666667,0.0188679245283019
